order,mixture
1,Novec649[0.48]&Ethanol[0.52]
2,trans-2-Butene[0.50]&MDM[0.50]
3,R123[0.50]&n-Decane[0.50]
4,DiethylEther[0.50]&Dichloroethane[0.50]
5,DiethylEther[0.28]&n-Decane[0.72]
6,DiethylEther[0.28]&R123[0.72]
7,Acetone[0.50]&trans-2-Butene[0.50]
8,Dichloroethane[0.39]&Ethanol[0.61]
9,trans-2-Butene[0.50]&R142b[0.50]
10,SulfurDioxide[0.49]&n-Nonane[0.51]
11,Acetone[0.48]&R123[0.52]
12,EthylBenzene[0.49]&CycloHexane[0.51]
13,CycloHexane[0.50]&DimethylCarbonate[0.50]
14,Dichloroethane[0.50]&EthylBenzene[0.50]
15,n-Butane[0.49]&n-Nonane[0.51]
16,Isohexane[0.49]&SulfurDioxide[0.51]
17,Methanol[0.50]&n-Decane[0.50]
18,R245fa[0.50]&R40[0.50]
19,R245fa[0.47]&R40[0.53]
20,R40[0.48]&IsoButene[0.52]
21,1-Butene[0.49]&R1234ze(Z)[0.51]
22,DimethylCarbonate[0.50]&m-Xylene[0.50]
23,Dichloroethane[0.50]&Acetone[0.50]
24,MethylPalmitate[0.47]&n-Butane[0.53]
25,n-Nonane[0.48]&HeavyWater[0.52]
26,EthyleneOxide[0.48]&Cyclopentane[0.52]
27,Water[0.49]&MethylOleate[0.51]
28,MethylOleate[0.50]&Water[0.50]
