config,n_seeds,mean_best_eta,std_best_eta,ci_low,ci_high,max_best_eta
twostage_mixture,20,0.122209,0.008432,0.118635,0.125743,0.135084
twostage_pure,20,0.135487,0.003039,0.134137,0.136715,0.141225
