order,mixture
1,n-Dodecane[0.50]&R236EA[0.50]
2,n-Undecane[0.50]&Ethanol[0.50]
3,R236EA[0.38]&n-Hexane[0.62]
4,Toluene[0.50]&n-Dodecane[0.50]
5,n-Dodecane[0.34]&n-Hexane[0.66]
6,n-Dodecane[0.35]&n-Hexane[0.65]
7,Cyclopentane[0.44]&Toluene[0.56]
8,R236EA[0.50]&n-Undecane[0.50]
9,n-Pentane[0.48]&R21[0.52]
10,Cyclopentane[0.50]&R40[0.50]
11,R141b[0.46]&HeavyWater[0.54]
12,Water[0.50]&DiethylEther[0.50]
13,HeavyWater[0.47]&1-Butene[0.53]
14,n-Decane[0.50]&Methanol[0.50]
15,trans-2-Butene[0.50]&R142b[0.50]
16,Acetone[0.47]&Isohexane[0.53]
17,Benzene[0.50]&R245fa[0.50]
18,n-Butane[0.49]&n-Decane[0.51]
19,Methanol[0.50]&n-Undecane[0.50]
20,Neopentane[0.50]&Water[0.50]
