config,n_seeds,mean_best_eta,std_best_eta,ci_low,ci_high,max_best_eta
onestage_mixture,20,0.123976,0.008647,0.120314,0.127643,0.141714
onestage_pure,20,0.126573,0.008417,0.122934,0.130104,0.140748
twostage_mixture,20,0.127753,0.007115,0.124856,0.130974,0.145405
twostage_pure,20,0.135560,0.001940,0.134700,0.136342,0.137693
