order,mixture
1,n-Pentane[0.48]&1-Butene[0.52]
2,p-Xylene[0.49]&R11[0.51]
3,Isopentane[0.49]&Novec649[0.51]
4,R123[0.49]&MD2M[0.51]
1,n-Pentane[0.50]&1-Butene[0.50]
2,n-Pentane[0.37]&Isopentane[0.63]
3,n-Pentane[0.50]&Isopentane[0.50]
4,n-Pentane[0.25]&Isopentane[0.75]
5,n-Pentane[0.49]&1-Butene[0.51]
6,n-Pentane[0.11]&Cyclopentane[0.89]
7,Cyclopentane[0.50]&n-Pentane[0.50]
8,Cyclopentane[0.50]&Isopentane[0.50]
9,n-Pentane[0.44]&Cyclopentane[0.56]
10,n-Pentane[0.45]&Cyclopentane[0.55]
11,Cyclopentane[0.33]&1-Butene[0.67]
12,Cyclopentane[0.50]&1-Butene[0.50]
13,Cyclopentane[0.22]&Isopentane[0.78]
14,Cyclopentane[0.08]&DimethylCarbonate[0.92]
15,DimethylCarbonate[0.50]&Cyclopentane[0.50]
