phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,Novec649[0.48]&Isopentane[0.52],mixture,Novec649,Isopentane,0.48,451.4508,2475837.693511096,0.09815564694432129,10.783510919938923,0.8054607496883676
INIT,2,n-Pentane[0.33]&1-Butene[0.67],mixture,n-Pentane,1-Butene,0.33,435.9253,3769965.7602708447,0.11261792685875023,22.8821961703716,2.2166316072261405
INIT,3,Novec649[0.46]&R123[0.54],mixture,Novec649,R123,0.46,449.92134000000004,2707006.0531872734,0.10217243549899405,12.705050446226162,0.8787664813303226
INIT,4,Ethanol[0.47]&Novec649[0.53],mixture,Ethanol,Novec649,0.47000000000000003,476.073,4689454.220065602,0.1028673806051458,11.931454479726291,0.5941518221407359
INIT,5,R11[0.35]&1-Butene[0.65],mixture,R11,1-Butene,0.35000000000000003,437.427,4270102.932225015,0.11500147289484684,25.610558595289127,2.660150026320119
OPT,6,IsoButene[0.48]&trans-2-Butene[0.52],mixture,IsoButene,trans-2-Butene,0.48,423.56039999999996,4055534.261202241,0.09818213759194966,22.878797115712764,3.722403273110876
OPT,7,Cyclopentane[0.50]&DimethylCarbonate[0.50],mixture,Cyclopentane,DimethylCarbonate,0.5,534.36,4343074.450147814,0.12952265167939017,5.642682759188223,0.23440680943359812
OPT,8,m-Xylene[0.49]&Isopentane[0.51],mixture,m-Xylene,Isopentane,0.49,537.0545999999999,3504701.8383010253,0.06258553090618772,2.6902860616919932,0.5663215464899067
OPT,9,Isopentane[0.49]&Ethanol[0.51],mixture,Isopentane,Ethanol,0.49,472.8099632207009,4445554.298531406,0.1138503486173387,14.258455093744004,0.8663133741284079
OPT,10,n-Decane[0.49]&Acetone[0.51],mixture,n-Decane,Acetone,0.49,591.0476718468242,4237274.383987816,-0.05,-1.0,-1.0
OPT,11,MDM[0.50]&R114[0.50],mixture,MDM,R114,0.5,492.09545,1891840.900609904,0.013792851950532002,1.930840189777871,1.2549214380267812
OPT,12,R40[0.49]&p-Xylene[0.51],mixture,R40,p-Xylene,0.49,518.23268,4570803.893185287,-0.05,-1.0,-1.0
OPT,13,R141b[0.50]&Dichloroethane[0.50],mixture,R141b,Dichloroethane,0.5,519.55,4734196.485909869,0.12588196946754845,8.218340385083533,0.4651909431795457
OPT,14,CycloHexane[0.49]&Benzene[0.51],mixture,CycloHexane,Benzene,0.49,572.5519272431636,5156303.67340724,0.12353336787309074,4.105568126190382,0.23635723482965024
OPT,15,IsoButene[0.50]&n-Octane[0.50],mixture,IsoButene,n-Octane,0.5,533.974950703125,4522584.841292039,0.03255847978716265,3.720049143395394,1.6664695328401509
OPT,16,R11[0.49]&SulfurDioxide[0.51],mixture,R11,SulfurDioxide,0.49,450.47029999999995,7633962.916618077,0.116647989889205,43.736222958117715,4.383508554897945
OPT,17,SulfurDioxide[0.50]&R236EA[0.50],mixture,SulfurDioxide,R236EA,0.5,421.53999999999996,5450662.659396757,0.10296328309782969,40.592509083651315,4.303062501122405
OPT,18,R40[0.50]&HeavyWater[0.50],mixture,R40,HeavyWater,0.5,531.236326044504,10499510.788167553,-0.05,-1.0,-1.0
OPT,19,Methanol[0.50]&Toluene[0.50],mixture,Methanol,Toluene,0.5,519.405735,17216706.48624629,0.00043897431538747765,5.826581367892774,5.781141456925631
OPT,20,n-Heptane[0.49]&Water[0.51],mixture,n-Heptane,Water,0.49,594.8400889263474,5870672.351051446,0.1301305982159959,2.033675565556764,0.0537949654589027
OPT,21,R40[0.49]&n-Butane[0.51],mixture,R40,n-Butane,0.49,420.80075,5171290.911903699,0.10755638266905837,42.820703593006165,4.949395776914119
OPT,22,SulfurDioxide[0.49]&R245fa[0.51],mixture,SulfurDioxide,R245fa,0.49,428.7887,5524968.951534485,0.11261518945614536,39.37580065492053,3.2823251040953276
OPT,23,n-Heptane[0.47]&HeavyWater[0.53],mixture,n-Heptane,HeavyWater,0.47000000000000003,595.13291,6026411.8934671935,0.05414626061481573,2.084413645475394,0.6632510136179788
OPT,24,R1234ze(Z)[0.47]&cis-2-Butene[0.53],mixture,R1234ze(Z),cis-2-Butene,0.47000000000000003,429.8844,4243547.378422322,0.10401076699911539,23.58435613089216,3.0380669996375818
OPT,25,IsoButene[0.49]&R40[0.51],mixture,IsoButene,R40,0.49,414.05777354901744,5125039.056077907,0.1026828256197962,38.23929747449198,5.68101354262409
