order,mixture
1,n-Dodecane[0.49]&R245ca[0.51]
2,DimethylCarbonate[0.50]&n-Butane[0.50]
3,MDM[0.50]&n-Hexane[0.50]
4,Methanol[0.48]&MethylOleate[0.52]
5,R113[0.49]&Neopentane[0.51]
1,Neopentane[0.49]&R113[0.51]
2,R113[0.39]&Neopentane[0.61]
3,R113[0.26]&Neopentane[0.74]
4,R113[0.42]&Neopentane[0.58]
5,R113[0.43]&Neopentane[0.57]
6,R113[0.48]&Neopentane[0.52]
7,R113[0.10]&DimethylCarbonate[0.90]
8,R113[0.12]&DimethylCarbonate[0.88]
9,DimethylCarbonate[0.05]&n-Butane[0.95]
10,Neopentane[0.48]&R113[0.52]
11,Neopentane[0.44]&R113[0.56]
12,DimethylCarbonate[0.05]&Water[0.95]
13,DimethylCarbonate[0.05]&Neopentane[0.95]
14,DimethylCarbonate[0.05]&n-Undecane[0.95]
15,R113[0.50]&Neopentane[0.50]
16,R113[0.10]&n-Undecane[0.90]
17,R113[0.07]&n-Butane[0.93]
18,R113[0.07]&Water[0.93]
19,Water[0.06]&Neopentane[0.94]
20,Neopentane[0.28]&Water[0.72]
