order,mixture
1,Novec649
2,Acetone
3,m-Xylene
4,MethylOleate
5,R11
6,Dichloroethane
7,EthyleneOxide
8,Water
9,R21
10,Benzene
11,HeavyWater
12,MethylLinoleate
13,MD3M
14,MethylLinolenate
15,n-Dodecane
16,D6
17,MethylPalmitate
18,R236EA
19,Toluene
20,D5
21,MD2M
22,n-Undecane
23,Cyclopentane
24,o-Xylene
25,CycloHexane
